product_id,name,current_price,rating,num_reviews,link,image_url,store_name,last_update
0014,[NEW] Sennheiser ACCENTUM Wireless Headphone,173.00,4.8,271,https://shopee.sg/-NEW-Sennheiser-ACCENTUM-Wireless-Headphone-i.56431667.21785412030?sp_atk=1c5f37fb-6087-4b60-bfaa-75b500942707&xptdk=1c5f37fb-6087-4b60-bfaa-75b500942707,https://cf.shopee.sg/file/sg-11134207-7rbnf-ln1ab8ypr19d27_tn.webp,Shopee,1/6/25
0015,Edifier W800BT SE Over-Ear Headphones Bluetooth V5.4 40mm Dynamic Driver 45H Playtime AI Noise Reduction Multipoint Connection Fast Charge Foldable Durable Design 0.06s Low Latency,52.86,4.9,205,https://shopee.sg/Edifier-W800BT-SE-Over-Ear-Headphones-Bluetooth-V5.4-40mm-Dynamic-Driver-45H-Playtime-AI-Noise-Reduction-Multipoint-Connection-Fast-Charge-Foldable-Durable-Design-0.06s-Low-Latency-i.970852992.23837014781?sp_atk=64794756-72d6-4bc2-b94e-17c1d8145d3f&xptdk=64794756-72d6-4bc2-b94e-17c1d8145d3f,https://cf.shopee.sg/file/cn-11134207-7ras8-ma9iieoymb1m35_tn.webp,Shopee,1/6/25
0016,Audio-Technica Studio Monitoring ATH-R70x Professional Open-Back Over-The-Ear Headphone (Black),348.00,5.0,15,https://shopee.sg/Audio-Technica-Studio-Monitoring-ATH-R70x-Professional-Open-Back-Over-The-Ear-Headphone-(Black)-i.74657846.4518111929?sp_atk=1b6a515c-e94f-427c-8881-c9a747f574f1&xptdk=1b6a515c-e94f-427c-8881-c9a747f574f1,https://cf.shopee.sg/file/sg-11134207-7rbl8-m5wp217gb3hnf7_tn.webp,Shopee,1/6/25
0017,Baseus D02 Pro Bluetooth Earphones Stereo Wireless 5.0  HIFI Foldable Sport Headset,28.73,4.9,9278,https://shopee.sg/Baseus-D02-Pro-Bluetooth-Earphones-Stereo-Wireless-5.0-HIFI-Foldable-Sport-Headset-i.131198971.9851616312?sp_atk=3224119f-86db-419b-aae3-5d135cc6e1d6&xptdk=3224119f-86db-419b-aae3-5d135cc6e1d6,https://cf.shopee.sg/file/cn-11134207-7r98o-lt3ijo9b1ihp76_tn.webp,Shopee,1/6/25
0018,Jabra Evolve2 75 MS Stereo - Professional wireless headset with ANC,415.00,5.0,17,https://shopee.sg/Jabra-Evolve2-75-MS-Stereo-Professional-wireless-headset-with-ANC-i.16046432.16096842012?sp_atk=da9f1e03-f0a1-480f-a4e3-a97084232445&xptdk=da9f1e03-f0a1-480f-a4e3-a97084232445,https://cf.shopee.sg/file/sg-11134207-7rbkj-lp4xw4li2s5a05_tn.webp,Shopee,1/6/25
0019,Armaggeddon Orion 7 Bluetooth Wireless Gaming Headphone | 7.1 Surround Sound | Quad Mode | Detachable Mic,96.00,4.8,86,https://shopee.sg/Armaggeddon-Orion-7-Bluetooth-Wireless-Gaming-Headphone-7.1-Surround-Sound-Quad-Mode-Detachable-Mic-i.11434776.4515168313?sp_atk=73ee3fae-99f7-4ffa-b0d7-279e428bc5a3&xptdk=73ee3fae-99f7-4ffa-b0d7-279e428bc5a3,https://cf.shopee.sg/file/sg-11134207-7rfi3-m9a367v63h5ua8_tn.webp,Shopee,1/6/25
0020,Sennheiser HD 820 Closed-back Audiophile Headphones,2893.00,3.0,5,https://shopee.sg/Sennheiser-HD-820-Closed-back-Audiophile-Headphones-i.56431667.10717398368?sp_atk=37ee8a24-15c4-4cf7-af33-c737a17e34bf&xptdk=37ee8a24-15c4-4cf7-af33-c737a17e34bf,https://cf.shopee.sg/file/bc7aee370eff86b9a01cf1697f372f35_tn.webp,Shopee,1/6/25
0021,Edifier K750W Over-ear Headphones On-ear Headset with Mic 55Hrs Playtime Bluetooth 5.4 40mm Dynamic Drivers 2 Noise Cancelling Mics Detachable Boom Mic Design Comfort for Learning,52.86,4.9,18,https://shopee.sg/Edifier-K750W-Over-ear-Headphones-On-ear-Headset-with-Mic-55Hrs-Playtime-Bluetooth-5.4-40mm-Dynamic-Drivers-2-Noise-Cancelling-Mics-Detachable-Boom-Mic-Design-Comfort-for-Learning-i.970852992.28378422412?sp_atk=5310b02d-fe98-44d8-b253-72bf343a57cf&xptdk=5310b02d-fe98-44d8-b253-72bf343a57cf,https://cf.shopee.sg/file/cn-11134207-7ras8-ma9kk5xyzefrbd_tn.webp,Shopee,1/6/25
0022,Baseus H1i Bluetooth Headphones ANC Bluetooth 5.3 Headsets Wireless Noise Cancellation 100h Battery Ultra-Low Latency,55.90,4.8,286,https://shopee.sg/Baseus-H1i-Bluetooth-Headphones-ANC-Bluetooth-5.3-Headsets-Wireless-Noise-Cancellation-100h-Battery-Ultra-Low-Latency-i.1103391312.19386752790?sp_atk=e53819e3-081b-46ad-8058-5f0ef105a30f&xptdk=e53819e3-081b-46ad-8058-5f0ef105a30f,https://cf.shopee.sg/file/sg-11134207-7rd4y-lufqln1vtreyd5_tn.webp,Shopee,1/6/25
0023,"Baseus H1i Bluetooth Headphones ANC Bluetooth 5.3 Headsets Wireless Headphones, 38db Active Noise Cancellation, 100h Battery Life, 0.038s Ultra-Low Latency",50.91,4.8,572,https://shopee.sg/Baseus-H1i-Bluetooth-Headphones-ANC-Bluetooth-5.3-Headsets-Wireless-Headphones-38db-Active-Noise-Cancellation-100h-Battery-Life-0.038s-Ultra-Low-Latency-i.131198971.20079951426?sp_atk=f9d9362d-02a2-42b3-b3ee-192fa2b1ae4e&xptdk=f9d9362d-02a2-42b3-b3ee-192fa2b1ae4e,https://cf.shopee.sg/file/cn-11134207-7r98o-lt3ijo9b2x2520_tn.webp,Shopee,1/6/25
0024,"Skullcandy Hesh ANC Noise Canceling Wireless Over-Ear Headphones with Rapid Charge, Up to 22 Hours of Battery",139.90,4.8,571,https://shopee.sg/Skullcandy-Hesh-ANC-Noise-Canceling-Wireless-Over-Ear-Headphones-with-Rapid-Charge-Up-to-22-Hours-of-Battery-i.37468156.5175031073?sp_atk=e89da0ab-bc9c-49da-9c77-8de003d0ecd1&xptdk=e89da0ab-bc9c-49da-9c77-8de003d0ecd1,https://cf.shopee.sg/file/sg-11134207-7rd53-lwqoebo1ungoac_tn.webp,Shopee,1/6/25
0025,Sennheiser ACCENTUM Wireless Bluetooth Headphones (Special Edition) + BTD600 dongle,198.00,5.0,18,https://shopee.sg/Sennheiser-ACCENTUM-Wireless-Bluetooth-Headphones-(Special-Edition)-BTD600-dongle-i.56431667.26515329143?sp_atk=b40b8744-89e6-417b-9f0b-957de882d258&xptdk=b40b8744-89e6-417b-9f0b-957de882d258,https://cf.shopee.sg/file/sg-11134207-7rep3-m1qppbl8c20v82_tn.webp,Shopee,1/6/25
0026,Audio-Technica X Monster Hunter ATH-GL3 ZIN Gaming Headphones,99.00,5.0,32,https://shopee.sg/Audio-Technica-X-Monster-Hunter-ATH-GL3-ZIN-Gaming-Headphones-i.74657846.19892483882?sp_atk=4927e6cc-beed-46d8-baed-b6bec682d44c&xptdk=4927e6cc-beed-46d8-baed-b6bec682d44c,https://cf.shopee.sg/file/sg-11134207-7renj-m1p2nawqhynzc1_tn.webp,Shopee,1/6/25
0027,[NEW] Bowers & Wilkins B&W Px7 S3 Over-Ear Wireless Headphones,699.00,5.0,14,https://shopee.sg/-NEW-Bowers-Wilkins-B-W-Px7-S3-Over-Ear-Wireless-Headphones-i.305785009.29234714396?sp_atk=de937fca-644e-4602-af64-09d3e09c747f&xptdk=de937fca-644e-4602-af64-09d3e09c747f,https://cf.shopee.sg/file/sg-11134207-7rent-m8ygr5qwts2hcd_tn.webp,Shopee,1/6/25
0028,"Skullcandy Crusher Evo Sensory Bass Over-Ear Headphones with Rapid Charge, Up to 40 Hours of Battery",209.00,4.9,454,https://shopee.sg/Skullcandy-Crusher-Evo-Sensory-Bass-Over-Ear-Headphones-with-Rapid-Charge-Up-to-40-Hours-of-Battery-i.37468156.9163368619?sp_atk=3d64cc93-aaf1-42d3-b6f5-3c0bc83ccc20&xptdk=3d64cc93-aaf1-42d3-b6f5-3c0bc83ccc20,https://cf.shopee.sg/file/sg-11134207-7rd43-lwqoebo1rubs55_tn.webp,Shopee,1/6/25
0029,New Baseus GoPlay 1+ Max Gaming Wired Headphones With Mic 7.1 Virtual Surround 40mm+10mm Driver Headsets,29.66,4.7,210,https://shopee.sg/New-Baseus-GoPlay-1-Max-Gaming-Wired-Headphones-With-Mic-7.1-Virtual-Surround-40mm-10mm-Driver-Headsets-i.131198971.29818835226?sp_atk=95010b81-6e3a-4599-ba5b-e66788ec8a9a&xptdk=95010b81-6e3a-4599-ba5b-e66788ec8a9a,https://cf.shopee.sg/file/cn-11134207-7ras8-m8mqg80oeoia08_tn.webp,Shopee,1/6/25
0030,Dan Clark Audio Expanse Flagship Open-back Planar Magnetic Headphones - AV One Authorised Dealer/Official Product,6299.00,5.0,1,https://shopee.sg/Dan-Clark-Audio-Expanse-Flagship-Open-back-Planar-Magnetic-Headphones-AV-One-Authorised-Dealer-Official-Product-i.235033842.18150625051?sp_atk=e4ceb9a4-8d5b-4428-8f27-b65bf463bd75&xptdk=e4ceb9a4-8d5b-4428-8f27-b65bf463bd75,https://cf.shopee.sg/file/sg-11134201-22090-n4c6gungx2hv06_tn.webp,Shopee,1/6/25
0031,Jabra Evolve 10 - Professional corded headset with plug-and-play setup and essential comfort,45.00,4.7,77,https://shopee.sg/Jabra-Evolve-10-Professional-corded-headset-with-plug-and-play-setup-and-essential-comfort-i.16046432.27830287770?sp_atk=499a343d-789f-4a01-a5bd-692e2d4186ae&xptdk=499a343d-789f-4a01-a5bd-692e2d4186ae,https://cf.shopee.sg/file/sg-11134207-7rd74-m7kps0dhfhfnce_tn.webp,Shopee,1/6/25
0032,Baseus GoPlay 1+ Max Gaming Wired Headphones With Mic 7.1 Virtual Surround 40mm+10mm Driver Headsets,32.90,4.9,103,https://shopee.sg/Baseus-GoPlay-1-Max-Gaming-Wired-Headphones-With-Mic-7.1-Virtual-Surround-40mm-10mm-Driver-Headsets-i.1103391312.25888778289?sp_atk=2f80240c-7561-4e4e-a646-5bf97b7d8ca0&xptdk=2f80240c-7561-4e4e-a646-5bf97b7d8ca0,https://cf.shopee.sg/file/sg-11134207-7rfg3-m31tcq45t33re4_tn.webp,Shopee,1/6/25
0033,Baseus D02 Pro Bluetooth Earphones Stereo Wireless 5.0  HIFI Foldable Sport Headset,28.81,5.0,148,https://shopee.sg/Baseus-D02-Pro-Bluetooth-Earphones-Stereo-Wireless-5.0-HIFI-Foldable-Sport-Headset-i.1171238358.24430413395?sp_atk=c47a3892-ff54-42da-aad6-86b7c2cac1e9&xptdk=c47a3892-ff54-42da-aad6-86b7c2cac1e9,https://cf.shopee.sg/file/cn-11134207-7ras8-m8n4p46ybooi4c_tn.webp,Shopee,1/6/25
0034,NIKE Air Force 1 07 LV8 Split Light Silver Black DZ2522 001 (LF),143.50,4.6,3,https://shopee.sg/NIKE-Air-Force-1-07-LV8-Split-Light-Silver-Black-DZ2522-001-(LF)-i.280432311.27180404874?sp_atk=b5d9ff67-f976-4d77-bc1a-c41facf39f6c&xptdk=b5d9ff67-f976-4d77-bc1a-c41facf39f6c,https://cf.shopee.sg/file/sg-11134201-7rfh7-m9t6ketk48892b_tn.webp,Shopee,1/6/25
0035,NIKE Air Force 1 '07 WB CJ9179 200 Flax Wheat Gum Brown (LF),203.00,5.0,14,https://shopee.sg/NIKE-Air-Force-1-'07-WB-CJ9179-200-Flax-Wheat-Gum-Brown-(LF)-i.280432311.15095375835?sp_atk=feb62a63-bb48-4228-a2e2-2bd7d1d01037&xptdk=feb62a63-bb48-4228-a2e2-2bd7d1d01037,https://cf.shopee.sg/file/sg-11134201-7rau0-mab4a4hdr0dud7_tn.webp,Shopee,1/6/25
0036,NIKE Air Force 1 Low Retro QS FD7039 101 White Forest Green Gum (LF),185.00,5.0,3,https://shopee.sg/NIKE-Air-Force-1-Low-Retro-QS-FD7039-101-White-Forest-Green-Gum-(LF)-i.280432311.22179905449?sp_atk=92199dbb-f899-419a-a5ea-3f62fac6afc1&xptdk=92199dbb-f899-419a-a5ea-3f62fac6afc1,https://cf.shopee.sg/file/sg-11134201-7rau2-ma6kqrub2d587c_tn.webp,Shopee,1/6/25
0037,NIKE Air Force 1 '07 Black White  FZ0627 010 Unisex (LF),183.00,4.8,1,https://shopee.sg/NIKE-Air-Force-1-'07-Black-White-FZ0627-010-Unisex-(LF)-i.280432311.28276173454?sp_atk=b65981e0-b9bd-43d7-be6d-7ca39090627c&xptdk=b65981e0-b9bd-43d7-be6d-7ca39090627c,https://cf.shopee.sg/file/sg-11134201-7rfgx-m9yizs8eop7354_tn.webp,Shopee,1/6/25
0038,NIKE Air Force 1 Low Retro DM0576 101 Unisex (LF),150.00,5.0,4,https://shopee.sg/NIKE-Air-Force-1-Low-Retro-DM0576-101-Unisex-(LF)-i.280432311.23507097276?sp_atk=ce08b196-43be-4d88-9abb-38c53ac48671&xptdk=ce08b196-43be-4d88-9abb-38c53ac48671,https://cf.shopee.sg/file/sg-11134201-7rbl2-m5zb5kf1fv7uc4_tn.webp,Shopee,1/6/25
0039,NIKE Womens Air Force 1 LX White Multi Patch FN8918 111 (LF),169.00,4.8,1,https://shopee.sg/NIKE-Womens-Air-Force-1-LX-White-Multi-Patch-FN8918-111-(LF)-i.280432311.20293046006?sp_atk=3a6f9253-5961-4b54-b328-6a5b940cd950&xptdk=3a6f9253-5961-4b54-b328-6a5b940cd950,https://cf.shopee.sg/file/sg-11134201-7rcel-m6axol584uwk94_tn.webp,Shopee,1/6/25
0040,NIKE Air Force 1 07 FQ6850 621 (LF),150.00,4.5,4,https://shopee.sg/NIKE-Air-Force-1-07-FQ6850-621-(LF)-i.280432311.20692902551?sp_atk=10dac189-e3c3-4b9e-8795-d3e780987504&xptdk=10dac189-e3c3-4b9e-8795-d3e780987504,https://cf.shopee.sg/file/sg-11134201-7reos-m8ec4d4xw4owca_tn.webp,Shopee,1/6/25
0041,Oatsbasf Borderless Heat Dissipation Phone Case With Magnetic Rotating Bracket For iPhone 16E/16 Pro Max/15 ProMax/14 ProMax/13 Pro Max/12 Pro Max,24.92,4.8,200,https://shopee.sg/Oatsbasf-Borderless-Heat-Dissipation-Phone-Case-With-Magnetic-Rotating-Bracket-For-iPhone-16E-16-Pro-Max-15-ProMax-14-ProMax-13-Pro-Max-12-Pro-Max-i.841957921.28661054045?sp_atk=f8642e25-1e5e-46d6-91d8-2fceac3565ac&xptdk=f8642e25-1e5e-46d6-91d8-2fceac3565ac,https://cf.shopee.sg/file/cn-11134207-7r98o-ltkt4bc8c34tc1_tn.webp,Shopee,1/6/25
0042,"elago Magnetic Silicone Case Compatible with iPhone 15 Pro, iPhone 15 Pro Max - Built-in Magnets, Protective Cover",26.80,4.9,1521,https://shopee.sg/elago-Magnetic-Silicone-Case-Compatible-with-iPhone-15-Pro-iPhone-15-Pro-Max-Built-in-Magnets-Protective-Cover-i.372991575.20392993612?sp_atk=2087d46c-5adf-4da7-9091-90c9f27c2076&xptdk=2087d46c-5adf-4da7-9091-90c9f27c2076,https://cf.shopee.sg/file/sg-11134207-7rcd2-lqye62q40ay0ce_tn.webp,Shopee,1/6/25
0043,"Ugreen Clear Magnetic Protective Anti-collision Lens Full Cover Phone Case for iPhone 16/16 Plus/16 Pro/16 Pro Max, iPhone 15/15 Plus/15 Pro/15 Pro Max",9.89,4.9,7321,https://shopee.sg/Ugreen-Clear-Magnetic-Protective-Anti-collision-Lens-Full-Cover-Phone-Case-for-iPhone-16-16-Plus-16-Pro-16-Pro-Max-iPhone-15-15-Plus-15-Pro-15-Pro-Max-i.64922680.20083367137?sp_atk=f79af512-dc3c-4712-9781-8dd8b7852bbe&xptdk=f79af512-dc3c-4712-9781-8dd8b7852bbe,https://cf.shopee.sg/file/cn-11134207-7r98o-lzpmdq9dbib74c_tn.webp,Shopee,1/6/25
0044,Anvers Case for iPhone 16 Pro Max/16 Pro/16 Plus/16/15 Pro Max/15 Pro/15 Plus/15 LuxeFeel Series,10.99,4.9,612,https://shopee.sg/Anvers-Case-for-iPhone-16-Pro-Max-16-Pro-16-Plus-16-15-Pro-Max-15-Pro-15-Plus-15-LuxeFeel-Series-i.407922032.26221677466?sp_atk=1bfb1188-5cd6-47ef-bc83-fb10e9ee92b3&xptdk=1bfb1188-5cd6-47ef-bc83-fb10e9ee92b3,https://cf.shopee.sg/file/sg-11134201-7rfg7-m46wlzvlzty754_tn.webp,Shopee,1/6/25
0045,ESR iPhone 16 / 16 Plus / 16 Pro / 16 Pro Max Camera Control / 15 Series / 14 Classic Hybrid MagSafe Case,19.90,4.9,2712,https://shopee.sg/ESR-iPhone-16-16-Plus-16-Pro-16-Pro-Max-Camera-Control-15-Series-14-Classic-Hybrid-MagSafe-Case-i.139383672.20994628319?sp_atk=52623ad6-04b1-423d-95cd-44ad85c9ba42&xptdk=52623ad6-04b1-423d-95cd-44ad85c9ba42,https://cf.shopee.sg/file/sg-11134207-7rcc8-m6drcjx92vha3b_tn.webp,Shopee,1/6/25
0046,NAKEDNANO iPhone 16 / 15 / 14 / 13 / 12 / 11 Pro Max Clear Matte Case Casing,17.00,4.8,535,https://shopee.sg/NAKEDNANO-iPhone-16-15-14-13-12-11-Pro-Max-Clear-Matte-Case-Casing-i.5564068.23186400747?sp_atk=a9c57dfd-91fa-4414-b525-b5b02e663085&xptdk=a9c57dfd-91fa-4414-b525-b5b02e663085,https://cf.shopee.sg/file/sg-11134207-7ra2l-m51ag77lmav42d_tn.webp,Shopee,1/6/25
0047,Anvers for iphone 16/15/14/13/12 Pro Max Case with 360° Magnetic Stand Matte Ring Holder Phone Case,13.99,4.8,9912,https://shopee.sg/Anvers-for-iphone-16-15-14-13-12-Pro-Max-Case-with-360%C2%B0-Magnetic-Stand-Matte-Ring-Holder-Phone-Case-i.407922032.23740118631?sp_atk=16e3722d-579d-429d-9230-44b8c61a40fa&xptdk=16e3722d-579d-429d-9230-44b8c61a40fa,https://cf.shopee.sg/file/sg-11134207-7rd5f-m7xg5170il9y1d_tn.webp,Shopee,1/6/25
0048,ESR iPhone 16 / 16 Plus / 16 Pro / 16 Pro Max Camera Control /15 Series Classic Hybrid MagSafe Case w/ Stash Stand,30.26,4.9,3234,https://shopee.sg/ESR-iPhone-16-16-Plus-16-Pro-16-Pro-Max-Camera-Control-15-Series-Classic-Hybrid-MagSafe-Case-w-Stash-Stand-i.139383672.23554027882?sp_atk=20b1ac7e-0de3-4a73-98d8-0b9176ceee4a&xptdk=20b1ac7e-0de3-4a73-98d8-0b9176ceee4a,https://cf.shopee.sg/file/sg-11134207-7rcd0-m6drdw1gpe8o08_tn.webp,Shopee,1/6/25
0049,UNIQ Combat Hybrid Magclick Charging For iPhone 15 / Plus / Pro / Pro Max Phone Case,29.90,5.0,406,https://shopee.sg/UNIQ-Combat-Hybrid-Magclick-Charging-For-iPhone-15-Plus-Pro-Pro-Max-Phone-Case-i.477437110.18791950701?sp_atk=9532bd91-2b0e-46f1-ab45-707ad6f3c7b8&xptdk=9532bd91-2b0e-46f1-ab45-707ad6f3c7b8,https://cf.shopee.sg/file/sg-11134207-7rbm3-lmx11sns6jut43_tn.webp,Shopee,1/6/25
0050,"Spigen iPhone 15 Pro Max Case 6.7"" Liquid Air Casing Military Grade Drop Protection Slim Flexible Durable iPhone Case",22.99,4.9,758,https://shopee.sg/Spigen-iPhone-15-Pro-Max-Case-6.7-Liquid-Air-Casing-Military-Grade-Drop-Protection-Slim-Flexible-Durable-iPhone-Case-i.2153811.23573349793?sp_atk=286cca9c-ea71-4a66-ba03-70d34d62c491&xptdk=286cca9c-ea71-4a66-ba03-70d34d62c491,https://cf.shopee.sg/file/sg-11134207-7rdyl-m0trgrgikpmxd1_tn.webp,Shopee,1/6/25
0051,NILLKIN CamShield Pro Case For iPhone 16 Pro Max 15 Pro Max 14 13 12 Pro 16 Plus Phone Case Shockproof Luxury Hard PC Protection Back Cover,10.33,4.9,1322,https://shopee.sg/NILLKIN-CamShield-Pro-Case-For-iPhone-16-Pro-Max-15-Pro-Max-14-13-12-Pro-16-Plus-Phone-Case-Shockproof-Luxury-Hard-PC-Protection-Back-Cover-i.88484439.15236631817?sp_atk=3ed44ee6-0dcb-428b-b080-2cbd6825bd21&xptdk=3ed44ee6-0dcb-428b-b080-2cbd6825bd21,https://cf.shopee.sg/file/cn-11134207-7r98o-m01gfmllo79jdc_tn.webp,Shopee,1/6/25
0052,OtterBox Defender XT Series Case for iPhone 15 Pro/15 Pro Max | 1 Year Warranty,48.40,4.9,150,https://shopee.sg/OtterBox-Defender-XT-Series-Case-for-iPhone-15-Pro-15-Pro-Max-1-Year-Warranty-i.869572068.22673451956?sp_atk=d2ae543f-b427-441d-9357-70578ef22ded&xptdk=d2ae543f-b427-441d-9357-70578ef22ded,https://cf.shopee.sg/file/sg-11134207-7rblv-lllv5o49ib9041_tn.webp,Shopee,1/6/25
0053,"UGREEN Air-bag Shock-proof Clear Transparent Cover Protective Phone Case for iPhone 16/16 Plus/16 Pro/16 Pro Max, iPhone 15/15 Pro/15 Pro Max",5.33,4.9,3892,https://shopee.sg/UGREEN-Air-bag-Shock-proof-Clear-Transparent-Cover-Protective-Phone-Case-for-iPhone-16-16-Plus-16-Pro-16-Pro-Max-iPhone-15-15-Pro-15-Pro-Max-i.64922680.21982724920?sp_atk=07ade73e-73ca-4329-ae67-58652c4da395&xptdk=07ade73e-73ca-4329-ae67-58652c4da395,https://cf.shopee.sg/file/cn-11134207-7r98o-lzplihbhj9gie7_tn.webp,Shopee,1/6/25
